zone_climatique;altitude[gt];altitude[lte];cep[gte];cep[lt];eges[gte];eges[lt];etiquette;;;
;;;;70;;6;A;;;
;;;70;110;;11;B;;;
;;;;110;6;11;B;;;
;;;110;180;;30;C;;;
;;;;180;11;30;C;;;
;;;180;250;;50;D;;;
;;;;250;30;50;D;;;
;;800;250;330;;70;E;;;
;;800;;330;50;70;E;;;
;;800;330;420;;100;F;;;
;;800;;420;70;100;F;;;
;;800;420;;;;G;;;
;;800;;;100;;G;;;
H1a;800;;250;330;;70;E;;;
H1a;800;;;330;50;70;E;;;
H1a;800;;330;420;;100;F;;;
H1a;800;;;420;70;100;F;;;
H1a;800;;420;;;;G;;;
H1a;800;;;;100;;G;;;
H2a;800;;250;330;;70;E;;;
H2a;800;;;330;50;70;E;;;
H2a;800;;330;420;;100;F;;;
H2a;800;;;420;70;100;F;;;
H2a;800;;420;;;;G;;;
H2a;800;;;;100;;G;;;
H2b;800;;250;330;;70;E;;;
H2b;800;;;330;50;70;E;;;
H2b;800;;330;420;;100;F;;;
H2b;800;;;420;70;100;F;;;
H2b;800;;420;;;;G;;;
H2b;800;;;;100;;G;;;
H2c;800;;250;330;;70;E;;;
H2c;800;;;330;50;70;E;;;
H2c;800;;330;420;;100;F;;;
H2c;800;;;420;70;100;F;;;
H2c;800;;420;;;;G;;;
H2c;800;;;;100;;G;;;
H3;800;;250;330;;70;E;;;
H3;800;;;330;50;70;E;;;
H3;800;;330;420;;100;F;;;
H3;800;;;420;70;100;F;;;
H3;800;;420;;;;G;;;
H3;800;;;;100;;G;;;
H1b;800;;250;390;;80;E;;;
H1b;800;;;390;50;80;E;;;
H1b;800;;390;500;;110;F;;;
H1b;800;;;500;80;110;F;;;
H1b;800;;500;;;;G;;;
H1b;800;;;;110;;G;;;
H1c;800;;250;390;;80;E;;;
H1c;800;;;390;50;80;E;;;
H1c;800;;390;500;;110;F;;;
H1c;800;;;500;80;110;F;;;
H1c;800;;500;;;;G;;;
H1c;800;;;;110;;G;;;
H2d;800;;250;390;;80;E;;;
H2d;800;;;390;50;80;E;;;
H2d;800;;390;500;;110;F;;;
H2d;800;;;500;80;110;F;;;
H2d;800;;500;;;;G;;;
H2d;800;;;;110;;G;;;
